Código do ano letivo;Código da escola;UOEI;Código do curso;Curso;Edição;Ano Curricular da UC;Código da UC;Unidade Curricular;Código da Opção;Designação da Opção;Nº Mecanográfico;Nome;Email;Género;Regimes especiais de frequência
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200037;Marco Lima;a200037@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200038;Leonardo Martins;a200038@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200039;Edward Carter;a200039@alunos.uminho.pt;M;EINT
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200040;Sophia Rodriguez;a200040@alunos.uminho.pt;F;EINT
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200041;Victor Ferreira;a200041@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200042;Francisco Araujo;a200042@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200043;Rafael Teixeira;a200043@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200044;Tomás Marques;a200044@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200045;Miguel Silva;a200045@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200046;Matthew Johnson;a200046@alunos.uminho.pt;M;EINT
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200047;Helena Ramos;a200047@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200048;Jorge Cunha;a200048@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200049;Gabriel Duarte;a200049@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200050;Roberto Matos;a200050@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200051;Diogo Martins;a200051@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200052;Carlos Lima;a200052@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200053;Pedro Moreira;a200053@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200054;Nuno Vieira;a200054@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200055;Miguel Correia;a200055@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200056;Ricardo Monteiro;a200056@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200057;Diana Costa;a200057@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200058;Jessica Taylor;a200058@alunos.uminho.pt;F;EINT
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200059;André Figueiredo;a200059@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200060;Fernando Sousa;a200060@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200061;Patrícia Almeida;a200061@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200062;Joana Torres;a200062@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200063;Ethan Campbell;a200063@alunos.uminho.pt;M;EINT
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200064;Leonor Carvalho;a200064@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200065;Paulo Matias;a200065@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200066;Rui Oliveira;a200066@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200067;Lucas Barbosa;a200067@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200068;Hugo Monteiro;a200068@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200069;Gabriel Santos;a200069@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200070;Tomás Xavier;a200070@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200071;Diego Martinez;a200071@alunos.uminho.pt;M;EINT
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200072;Alex Silva;a200072@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200073;Clara Fonseca;a200073@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200074;Mateus Braga;a200074@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200075;Bruno Ferreira;a200075@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200076;Nathan Collins;a200076@alunos.uminho.pt;M;EINT
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200077;Vanessa Simões;a200077@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200078;Beatriz Figueiredo;a200078@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200079;João Andrade;a200079@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200080;Eduardo Lopes;a200080@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200051;Diogo Martins;a200051@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200052;Carlos Lima;a200052@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200053;Pedro Moreira;a200053@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200054;Nuno Vieira;a200054@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200055;Miguel Correia;a200055@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200056;Ricardo Monteiro;a200056@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200057;Diana Costa;a200057@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200058;Jessica Taylor;a200058@alunos.uminho.pt;F;EINT
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200059;André Figueiredo;a200059@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200060;Fernando Sousa;a200060@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200061;Patrícia Almeida;a200061@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200062;Joana Torres;a200062@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200063;Ethan Campbell;a200063@alunos.uminho.pt;M;EINT
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200064;Leonor Carvalho;a200064@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200065;Paulo Matias;a200065@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200066;Rui Oliveira;a200066@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200067;Lucas Barbosa;a200067@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200068;Hugo Monteiro;a200068@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200069;Gabriel Santos;a200069@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200070;Tomás Xavier;a200070@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200071;Diego Martinez;a200071@alunos.uminho.pt;M;EINT
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200072;Alex Silva;a200072@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200073;Clara Fonseca;a200073@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200074;Mateus Braga;a200074@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200075;Bruno Ferreira;a200075@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200076;Nathan Collins;a200076@alunos.uminho.pt;M;EINT
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200077;Vanessa Simões;a200077@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200078;Beatriz Figueiredo;a200078@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200079;João Andrade;a200079@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200080;Eduardo Lopes;a200080@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N3;Cálculo de Programas;;;200051;Diogo Martins;a200051@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N4;Base de Dados;;;200052;Carlos Lima;a200052@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J301N1;Programação Funcional;;;200053;Pedro Moreira;a200053@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N3;Cálculo de Programas;;;200054;Nuno Vieira;a200054@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N4;Base de Dados;;;200055;Miguel Correia;a200055@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;1;J301N1;Programação Funcional;;;200056;Ricardo Monteiro;a200056@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N3;Cálculo de Programas;;;200057;Diana Costa;a200057@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N4;Base de Dados;;;200058;Jessica Taylor;a200058@alunos.uminho.pt;F;EINT
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J301N1;Programação Funcional;;;200059;André Figueiredo;a200059@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N3;Cálculo de Programas;;;200060;Fernando Sousa;a200060@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N4;Base de Dados;;;200061;Patrícia Almeida;a200061@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;1;J301N1;Programação Funcional;;;200062;Joana Torres;a200062@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N3;Cálculo de Programas;;;200063;Ethan Campbell;a200063@alunos.uminho.pt;M;EINT
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N4;Base de Dados;;;200064;Leonor Carvalho;a200064@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Programação Funcional;;;200065;Paulo Matias;a200065@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N3;Cálculo de Programas;;;200066;Rui Oliveira;a200066@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N4;Base de Dados;;;200067;Lucas Barbosa;a200067@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;1;J301N1;Programação Funcional;;;200068;Hugo Monteiro;a200068@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N3;Cálculo de Programas;;;200069;Gabriel Santos;a200069@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N4;Base de Dados;;;200070;Tomás Xavier;a200070@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J301N1;Programação Funcional;;;200071;Diego Martinez;a200071@alunos.uminho.pt;M;EINT
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N3;Cálculo de Programas;;;200072;Alex Silva;a200072@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N4;Base de Dados;;;200073;Clara Fonseca;a200073@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;1;J301N1;Programação Funcional;;;200074;Mateus Braga;a200074@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N3;Cálculo de Programas;;;200075;Bruno Ferreira;a200075@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N4;Base de Dados;;;200076;Nathan Collins;a200076@alunos.uminho.pt;M;EINT
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J301N1;Programação Funcional;;;200077;Vanessa Simões;a200077@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N3;Cálculo de Programas;;;200078;Beatriz Figueiredo;a200078@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N4;Base de Dados;;;200079;João Andrade;a200079@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;1;J301N1;Programação Funcional;;;200080;Eduardo Lopes;a200080@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;1;J301N1;Programação Funcional;;;200081;Gabriel Alves;a200081@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;1;J302N1;Programação Imperativa;;;200082;João Pires;a200082@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N4;Base de Dados;;;200083;Sara Ribeiro;a200083@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N3;Cálculo de Programas;;;200084;Henrique Castro;a200084@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;1;J301N1;Programação Funcional;;;200085;Beatriz Nogueira;a200085@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;1;J302N1;Programação Imperativa;;;200086;Lucas Teixeira;a200086@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N4;Base de Dados;;;200087;Isabela Santos;a200087@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N3;Cálculo de Programas;;;200088;André Neves;a200088@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;1;J301N1;Programação Funcional;;;200089;Tiago Matos;a200089@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;1;J302N1;Programação Imperativa;;;200090;Pedro Carvalho;a200090@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N4;Base de Dados;;;200091;Rafael Lopes;a200091@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N3;Cálculo de Programas;;;200092;Cláudia Ferreira;a200092@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;1;J301N1;Programação Funcional;;;200093;Mariana Oliveira;a200093@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;1;J302N1;Programação Imperativa;;;200094;Eduardo Correia;a200094@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N4;Base de Dados;;;200095;Leonor Marques;a200095@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N3;Cálculo de Programas;;;200096;Ricardo Silva;a200096@alunos.uminho.pt;M;
